Avg_Net_Price_Q,comp_rate_150,median_earnings_y6
Q1,0.6008,31255
Q2,0.7261,50571
Q3,0.7927,53847
Q1,0.5455,30095
Q4,0.8083,119219
Q2,0.4776,32122
Q3,0.5924,34186
Q1,0.5073,34146
Q2,0.5778,37811
Q4,0.9436,64543
Q3,0.5514,38977
Q3,0.5963,39516
Q3,0.6692,47164
Q3,0.5238,34273
Q3,0.6723,43187
Q3,0.38,34490
Q2,0.5749,44445
Q2,0.5984,38384
Q1,0.4421,32787
Q2,0.533,38362
Q1,0.4704,34008
Q2,0.5161,52436
Q4,0.7556,58880
Q3,0.6288,37114
Q4,0.8156,55076
Q3,0.6007,42038
Q3,0.6,40456
Q2,0.5892,39041
Q3,0.6471,55182
Q3,0.4387,41162
Q1,0.4891,41984
Q4,0.625,42802
Q2,0.6597,42952
Q1,0.6056,47387
Q3,0.5064,39822
Q2,0.5529,30682
Q1,0.4435,42832
Q1,0.604,44263
Q4,0.4359,34280
Q4,0.6476,38412
Q4,0.9486,70635
Q4,0.5108,35595
Q4,0.2066,31574
Q3,0.7646,50047
Q2,0.6016,40704
Q1,0.5823,50047
Q3,0.5813,40529
Q3,0.5556,38949
Q4,0.8356,53773
Q2,0.3333,35203
Q2,0.6442,42646
Q2,0.6207,42284
Q4,0.6877,43256
Q1,0.5317,43453
Q2,0.537,44483
Q3,0.634,43453
Q2,0.5702,38566
Q4,0.6807,47699
Q1,0.3574,40933
Q2,0.5003,43751
Q4,0.7443,51158
Q2,0.6795,46890
Q2,0.7,64546
Q1,0.9802,84713
Q1,0.2162,28299
Q3,0.7221,51159
Q4,0.6486,47393
Q2,0.6508,54962
Q3,0.8445,54962
Q2,0.6505,54962
Q1,0.5509,42756
Q4,0.7158,54071
Q3,0.5106,39145
Q4,0.8772,82237
Q3,0.7375,45422
Q4,0.8646,57264
Q2,0.5554,43130
Q1,0.3615,29278
Q1,0.3333,21216
Q1,0.5407,52334
Q1,0.539,32716
Q1,0.5108,28814
Q4,0.7258,56611
Q4,0.7465,115752
Q3,0.6074,37910
Q2,0.8974,13827
Q4,0.7357,32377
Q4,0.9,58581
Q2,0.6894,44451
Q2,0.5774,37462
Q2,0.1647,25303
Q4,0.7562,65651
Q4,0.9087,57238
Q3,0.2857,34261
Q3,0.9621,79434
Q1,0.7944,44726
Q4,0.9536,78779
Q4,0.6982,43122
Q1,0.7253,55554
Q1,0.5449,43178
Q1,0.5972,45588
Q1,0.5589,45287
Q1,0.5063,44607
Q1,0.5318,44658
Q1,0.211,34242
Q1,0.1849,39174
Q1,0.5337,45538
Q1,0.3156,42661
Q3,0.5959,52087
Q2,0.5776,45662
Q3,0.4775,47363
Q3,0.6778,44979
Q1,0.83,50916
